iter	Passed	Remaining
417	1899	11734
418	1903	11726
419	1907	11716
420	1910	11704
421	1914	11697
422	1919	11692
423	1923	11683
424	1926	11672
425	1930	11662
426	1933	11650
427	1937	11640
428	1941	11632
429	1944	11623
430	1948	11611
431	1952	11604
432	1957	11602
433	1960	11589
434	1963	11580
435	1968	11573
436	1972	11568
437	1975	11557
438	1979	11549
439	1983	11540
440	1986	11529
441	1990	11522
442	1995	11517
443	2001	11523
444	2006	11522
445	2009	11509
446	2013	11500
447	2017	11493
448	2020	11479
449	2024	11473
450	2028	11462
451	2031	11454
452	2034	11439
453	2038	11431
454	2041	11419
455	2044	11407
456	2048	11396
457	2051	11388
458	2055	11380
459	2058	11368
460	2061	11355
461	2065	11344
462	2068	11332
463	2071	11320
464	2074	11312
465	2078	11304
466	2082	11296
467	2085	11283
468	2088	11272
469	2091	11257
470	2094	11245
471	2097	11234
472	2101	11226
473	2105	11220
474	2108	11208
475	2112	11199
476	2116	11194
477	2119	11183
478	2122	11172
479	2125	11160
480	2128	11149
481	2132	11141
482	2136	11135
483	2140	11126
484	2143	11117
485	2147	11109
486	2151	11103
487	2155	11093
488	2159	11086
489	2162	11077
490	2166	11068
491	2168	11055
492	2173	11052
493	2176	11039
494	2178	11026
495	2183	11020
496	2186	11010
497	2189	11000
498	2192	10989
499	2196	10984
500	2201	10978
501	2204	10972
502	2209	10970
503	2214	10965
504	2218	10959
505	2221	10951
506	2224	10939
507	2229	10935
508	2233	10932
509	2241	10945
510	2246	10943
511	2254	10957
512	2261	10965
513	2265	10958
514	2270	10957
515	2274	10947
516	2278	10942
517	2282	10935
518	2287	10932
519	2290	10924
520	2293	10914
521	2297	10907
522	2302	10906
523	2307	10901
524	2310	10894
525	2314	10885
526	2318	10879
527	2321	10869
528	2325	10864
529	2330	10858
530	2333	10851
531	2336	10841
532	2340	10831
533	2344	10828
534	2348	10820
535	2352	10813
536	2355	10802
537	2359	10799
538	2363	10792
539	2366	10781
540	2370	10775
541	2375	10772
542	2381	10774
543	2384	10764
544	2387	10755
545	2391	10748
546	2394	10738
547	2398	10731
548	2403	10728
549	2407	10725
550	2412	10723
551	2416	10717
552	2419	10707
553	2423	10699
554	2428	10696
555	2431	10687
556	2435	10682
557	2438	10672
558	2441	10662
559	2445	10655
560	2449	10649
561	2454	10646
562	2458	10643
563	2464	10644
564	2470	10645
565	2474	10641
566	2480	10642
567	2483	10634
568	2487	10627
569	2491	10620
570	2495	10614
571	2499	10608
572	2503	10602
573	2505	10591
574	2509	10582
575	2512	10575
576	2516	10567
577	2519	10559
578	2524	10554
579	2528	10549
580	2533	10549
581	2537	10540
582	2541	10537
583	2546	10534
584	2550	10528
585	2554	10523
586	2558	10518
587	2562	10513
588	2567	10510
589	2570	10500
590	2575	10498
591	2579	10491
592	2582	10483
593	2586	10475
594	2591	10476
595	2596	10474
596	2601	10469
597	2604	10463
598	2608	10457
599	2614	10458
600	2618	10451
601	2623	10451
602	2628	10447
603	2631	10439
604	2635	10434
605	2639	10429
606	2643	10421
607	2646	10413
608	2650	10405
609	2653	10396
610	2656	10387
611	2659	10377
612	2662	10369
613	2666	10362
614	2671	10358
615	2674	10352
616	2677	10342
617	2682	10340
618	2685	10331
619	2689	10324
620	2693	10318
621	2697	10311
622	2700	10304
623	2704	10298
624	2708	10292
625	2712	10287
626	2716	10280
627	2721	10278
628	2725	10273
629	2747	10334
630	2751	10330
631	2758	10336
632	2764	10337
633	2769	10334
634	2774	10331
635	2779	10331
636	2783	10326
637	2809	10400
638	2843	10504
639	2862	10556
640	2873	10573
641	2880	10578
642	2884	10574
643	2888	10566
644	2896	10575
645	2902	10577
646	2906	10571
647	2911	10567
648	2921	10583
649	2926	10581
650	2931	10576
651	2936	10573
652	2943	10578
653	2951	10587
654	2965	10616
655	2970	10614
656	2974	10609
657	2979	10605
658	2987	10614
659	2992	10611
660	2999	10614
661	3004	10610
662	3009	10607
663	3012	10599
664	3018	10597
665	3021	10590
666	3027	10590
667	3032	10588
668	3037	10585
669	3042	10581
670	3046	10573
671	3051	10572
672	3058	10574
673	3061	10566
674	3065	10560
675	3069	10554
676	3074	10548
677	3077	10540
678	3082	10536
679	3087	10533
680	3091	10529
681	3100	10538
682	3106	10539
683	3113	10541
684	3120	10544
685	3125	10542
686	3129	10537
687	3134	10532
688	3138	10525
689	3143	10522
690	3147	10516
691	3150	10508
692	3154	10502
693	3159	10499
694	3163	10490
695	3167	10484
696	3171	10477
697	3179	10484
698	3184	10482
699	3188	10476
700	3193	10473
701	3197	10465
702	3200	10458
703	3204	10450
704	3208	10444
705	3212	10438
706	3216	10431
707	3220	10424
708	3224	10418
709	3227	10411
710	3232	10406
711	3235	10398
712	3239	10389
713	3242	10382
714	3246	10375
715	3250	10368
716	3254	10362
717	3257	10354
718	3261	10346
719	3264	10338
720	3269	10333
721	3273	10327
722	3278	10324
723	3281	10317
724	3285	10310
725	3289	10302
726	3293	10296
727	3297	10292
728	3301	10284
729	3304	10276
730	3308	10270
731	3312	10261
732	3315	10252
733	3320	10250
734	3323	10242
735	3328	10238
736	3332	10231
737	3335	10224
738	3339	10217
739	3343	10211
740	3348	10207
741	3351	10198
742	3355	10191
743	3357	10180
744	3360	10171
745	3364	10164
746	3367	10156
747	3371	10149
