iter	RMSE
0	0.3982989141
1	0.3850431079
2	0.3831683675
3	0.3625521846
4	0.3556816415
5	0.3494444092
6	0.3427779071
7	0.336968307
88	0.340503154499	0.3345042683
10	0.3289627098111	0.3234809376
12	0.3186685066
13	0.3137144842
14	0.3087060047
15	0.3035667274
16	0.2990594691
17	0.2943325382
18	0.2896800106
19	0.2856056559
20	0.2812516887
21	0.2765081853
22	0.2726250597
23	0.2687026616
24	0.2645637676
25	0.2610067416
26	0.25713615
27	0.2532913407
28	0.2503007376
29	0.2468622434
30	0.2437305198
31	0.2403920984
32	0.2373507499
33	0.2342249277
34	0.2311270486
35	0.228204884
36	0.2252687818
37	0.2224412453
38	0.2198636952
39	0.2176126091
40	0.2148596031
41	0.212411785
42	0.2101264812
43	0.2078409003
44	0.2056048292
45	0.2034247941
46	0.2011887978
47	0.1989288705
48	0.1970044528
49	0.1949568583
50	0.1930742393
51	0.1911715571
52	0.1891361445
53	0.1873960686
54	0.1857587072
55	0.1840244006
56	0.1822873652
57	0.1806974082
58	0.1792057509
59	0.1777237632
60	0.1762215785
61	0.1747495171
62	0.1733772361
63	0.1720526616
64	0.1709913489
65	0.1697106037
66	0.168407424
67	0.1673955537
68	0.1664372314
69	0.1652384449
70	0.1640856446
71	0.1631029405
72	0.1620422048
73	0.160756177
74	0.1597141205
75	0.1587894372
76	0.1578202883
77	0.1567475372
78	0.1557354943
79	0.1546942822
80	0.1538068934
81	0.1530629436
82	0.1520848905
83	0.1511472426
84	0.1502945633
85	0.1493647587
86	0.1485563904
87	0.147748555
88	0.1468791587
89	0.1460635993
90	0.1452939861
91	0.1445774104
92	0.1438117296
93	0.1432200453
94	0.1423209036
95	0.1415934649
96	0.1408332269
97	0.140174441
98	0.1394414096
99	0.1387030245
100	0.1380039997
101	0.137395146
102	0.1367638099
103	0.1361825811
104	0.1355796311
105	0.1350362105
106	0.134494771
107	0.133959998
108	0.1334616645
109	0.1328995013
110	0.1324737
111	0.131905175
112	0.1313094388
113	0.1308328229
114	0.1304251386
115	0.1299188575
116	0.1294289388
117	0.1289439309
118	0.128596578
119	0.1282175746
120	0.1276720882
121	0.1273207372
122	0.1268333895
123	0.1262098201
124	0.1258021404
125	0.1254826405
126	0.1249978932
127	0.1247247084
128	0.1243006834
129	0.123954325
130	0.1235733238
131	0.1231871643
132	0.1227127307
133	0.1223010771
134	0.1219384084
135	0.1216490757
136	0.1212640396
137	0.1208841916
138	0.1204801586
139	0.1201070441
140	0.119731157
141	0.1194291072
142	0.1191069559
143	0.11866763
144	0.1183327148
145	0.1181030611
146	0.1177291074
147	0.1174689762
148	0.1171207414
149	0.1167423241
150	0.116445712
151	0.1161931017
152	0.1158964552
153	0.1156333549
154	0.1153290543
155	0.1150775285
156	0.1148756161
157	0.1144582314
158	0.1142174072
159	0.1140209037
160	0.1138037261
161	0.1136356332
162	0.1134207754
163	0.113251506
164	0.1130226887
165	0.1126437893
166	0.1124448779
167	0.1121304316
168	0.1119587025
169	0.1116662862
170	0.1113741239
171	0.1111610495
172	0.1110549859
173	0.110772172
174	0.1105293753
175	0.11020863
176	0.1099513953
177	0.1096891349
178	0.1094236893
179	0.1092377202
180	0.1089863852
181	0.1087212776
182	0.1084447811
183	0.1082222417
184	0.1079870903
185	0.1077329124
186	0.1074382718
187	0.1072338906
188	0.1069687878
189	0.1067930383
190	0.1066367389
191	0.1064711283
192	0.1062618781
193	0.1059813146
194	0.1057507723
195	0.1055698838
196	0.1053811541
197	0.1051674471
198	0.1049393582
199	0.1047978627
200	0.1046124271
201	0.1044746102
202	0.1042307008
203	0.1040774363
204	0.1039412036
205	0.1038130943
206	0.1036375726
207	0.1034745732
208	0.1032955579
209	0.1031047447
210	0.1029982672
211	0.1027582698
212	0.1026069784
213	0.1024939553
214	0.1022705364
